Player,Pos,Team,Bye,FLEX
Redskins D/ST,DST,WAS,10,False
Kaare Vedvik,K,MIN,12,False
Graham Gano,K,CAR,7,False
Benjamin Watson,TE,NE,10,True
Matt LaCosse,TE,NE,10,True
Jordan Thomas,TE,HOU,10,True
Hayden Hurst,TE,BAL,8,True
Dawson Knox,TE,BUF,6,True
Darius Slayton,WR,NYG,11,True
Preston Williams,WR,MIA,5,True
Dwayne Haskins,QB,WAS,10,False
Chiefs D/ST,DST,KC,12,False
Cowboys D/ST,DST,DAL,8,False
Cardinals D/ST,DST,ARI,12,False
Lions D/ST,DST,DET,5,False
